Timestamp,Gender,Age,exercise_pre,type_exercise_pre,time_pre,low_intens_pre,social_workout_pre,days_exercise_lock,type_exercise_lock,diff_exercise,time_lock,low_intens_lock,social_workout_lock,motivation_diff,social_circle_exercise,zz,moderate_intens_pre,high_intens_pre,moderate_intens_lock,high_intens_lock,xx,yy
27/04/2021 17.35.05,Mand,21,6,"Gåture, Løb, Cykling, Styrketræning, Hjemmetræning, Sportsgren (fx. fodbold, atletik, tennis)",Over 5 timer,1-25 %,3,5,"Cykling, Hjemmetræning",Det har ikke været det samme,1-2 timer,1-25%,1,1,Ja,,50-75%,0%,50-75%,0%,,
27/04/2021 18.36.01,Kvinde,23,5,"Gåture, Løb, Cykling",4-5 timer,25-50%,1,5,"Gåture, Løb, Cykling",Det har været nogenlunde det sammen,Over 5 timer,25-50%,1,4,Nej,,25-50%,0%,25-50%,0%,,
27/04/2021 18.57.51,Kvinde,76,3,Gåture,1-2 timer,1-25 %,0,5,Gåture,Det har været nogenlunde det sammen,2-3 timer,25-50%,1,4,Nej,,1-25%,0%,1-25%,0%,,
27/04/2021 19.53.27,Kvinde,26,4,"Gåture, Løb, Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",3-4 timer,,4,4,"Gåture, Vægttræning, Hjemmetræning",,3-4 timer,1-25%,3,4,Ja,,25-50%,1-25%,25-50%,1-25%,,
27/04/2021 20.22.23,Kvinde,43,5,"Gåture, Cykling",4-5 timer,75-100%,2,7,"Gåture, Cykling",Det har været nogenlunde det sammen,Over 5 timer,75-100%,3,4,Ja,,1-25%,0%,1-25%,0%,,
27/04/2021 20.22.45,Kvinde,39,7,"Gåture, Styrketræning",4-5 timer,1-25 %,2,3,"Gåture, Hjemmetræning",Det har ikke været det samme,1-2 timer,75-100%,0,1,Nej,,50-75%,0%,0%,0%,,
27/04/2021 20.25.36,Kvinde,41,3,"Gåture, Holdtræning (online, løbeklub, fitnesshold)",2-3 timer,1-25 %,3,4,"Gåture, Havearbejde/Byggearbejde",Det har ikke været det samme,2-3 timer,75-100%,4,2,Ja,,50-75%,1-25%,0%,0%,,
27/04/2021 20.30.50,Kvinde,42,3,"Gåture, Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",3-4 timer,1-25 %,3,2,"Gåture, Styrke og pilates",Det har ikke været det samme,2-3 timer,75-100%,1,3,Ja,,50-75%,1-25%,1-25%,0%,,
27/04/2021 20.31.49,Mand,23,6,"Løb, Cykling, Styrketræning, Holdtræning (online, løbeklub, fitnesshold), Havearbejde/Byggearbejde",Over 5 timer,0%,2,5,"Gåture, Løb, Vægttræning, Holdtræning (fx online, løbeklub, fitnesshold), Havearbejde/Byggearbejde",Det har ikke været det samme,4-5 timer,1-25%,3,3,Ja,,25-50%,25-50%,25-50%,1-25%,,
27/04/2021 20.37.57,Kvinde,36,4,"Gåture, Havearbejde/Byggearbejde",2-3 timer,25-50%,4,4,"Gåture, Hjemmetræning, Havearbejde/Byggearbejde",Det har været nogenlunde det sammen,2-3 timer,,4,5,Ja,,25-50%,0%,25-50%,0%,,
27/04/2021 20.40.43,Kvinde,44,3,Løb,1-2 timer,25-50%,1,5,"Løb, Holdtræning (fx online, løbeklub, fitnesshold)",Det har ikke været det samme,2-3 timer,25-50%,0,4,Nej,,50-75%,1-25%,50-75%,1-25%,,
27/04/2021 20.44.15,Kvinde,46,4,"Løb, Cykling, Styrketræning",3-4 timer,1-25 %,1,6,"Gåture, Løb, Cykling, Hjemmetræning",Det har været nogenlunde det sammen,4-5 timer,25-50%,3,4,Ja,,75-100%,1-25%,75-100%,1-25%,,
27/04/2021 20.47.41,Kvinde,43,4,"Gåture, Havearbejde/Byggearbejde",3-4 timer,1-25 %,0,4,"Gåture, Havearbejde/Byggearbejde",Det har ikke været det samme,3-4 timer,1-25%,1,3,Nej,,0%,0%,0%,0%,,
27/04/2021 21.13.09,Mand,23,5,"Gåture, Cykling, Sportsgren (fx. fodbold, atletik, tennis)",1-2 timer,25-50%,1,6,"Gåture, Cykling, Sportsgren (fx. fodbold, atletik, tennis)",Det har været nogenlunde det sammen,1-2 timer,50-75%,1,4,Ja,,50-75%,1-25%,25-50%,1-25%,,
27/04/2021 21.21.39,Kvinde,22,3,"Cykling, Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",2-3 timer,25-50%,2,2,"Gåture, Løb, Cykling",Det har været nogenlunde det sammen,1-2 timer,1-25%,2,2,Ja,,25-50%,25-50%,25-50%,0%,,
27/04/2021 21.38.13,Kvinde,39,2,"Gåture, Løb",1-2 timer,1-25 %,2,4,"Gåture, Løb",Det har været nogenlunde det sammen,4-5 timer,25-50%,1,4,Nej,,1-25%,0%,25-50%,0%,,
27/04/2021 21.41.19,Kvinde,47,2,Gåture,Under 1 time,75-100%,3,7,"Gåture, Havearbejde/Byggearbejde",Det har været nogenlunde det sammen,4-5 timer,75-100%,1,4,Ja,,0%,0%,0%,0%,,
27/04/2021 21.52.10,Kvinde,44,3,"Gåture, Cykling",2-3 timer,1-25 %,2,6,"Gåture, Hjemmetræning, Havearbejde/Byggearbejde",Det har ikke været det samme,4-5 timer,75-100%,3,5,Nej,,50-75%,0%,0%,0%,,
27/04/2021 22.00.22,Kvinde,46,4,"Cykling, Styrketræning, Havearbejde/Byggearbejde",2-3 timer,1-25 %,1,3,"Gåture, Havearbejde/Byggearbejde",Det har ikke været det samme,Over 5 timer,75-100%,4,4,Ja,,50-75%,0%,0%,0%,,
27/04/2021 22.01.53,Mand,41,6,"Løb, Cykling, Styrketræning, Havearbejde/Byggearbejde",4-5 timer,0%,0,5,"Gåture, Løb, Hjemmetræning, Havearbejde/Byggearbejde",Det har ikke været det samme,3-4 timer,1-25%,3,4,Nej,,75-100%,1-25%,50-75%,1-25%,,
27/04/2021 22.06.12,Kvinde,23,5,"Gåture, Cykling, Styrketræning, Holdtræning (online, løbeklub, fitnesshold), Havearbejde/Byggearbejde",3-4 timer,1-25 %,3,5,Gåture,Det har ikke været det samme,3-4 timer,75-100%,1,1,Nej,,50-75%,0%,0%,0%,,
27/04/2021 22.09.43,Kvinde,41,3,Løb,2-3 timer,0%,3,5,"Gåture, Løb",Det har ikke været det samme,3-4 timer,1-25%,2,4,Ja,,75-100%,75-100%,50-75%,1-25%,,
